id,type,desc,category,concept,dataset,name
year constructed,number,Year in which the Pump Station was built,year,time,ryeb-sgt7,Drainage - Pump Stations
neighbourhood id,text,Unique Neighbourhood Identification Number,neighbourbood_id,area,ryeb-sgt7,Drainage - Pump Stations
neighbourhood name,text,Name of Neighbourhood Pump Station is located,neighbourbood_name,area,ryeb-sgt7,Drainage - Pump Stations
ward,text,Name of Ward where a Pump Station is located,ward_name,area,ryeb-sgt7,Drainage - Pump Stations
street / avenue,text,Name of Street / Avenue where Pump Station is located ,address,location,ryeb-sgt7,Drainage - Pump Stations
latitude,number,Latitude coordinates for a Pump Station,latitude,location,ryeb-sgt7,Drainage - Pump Stations
longitude,number,Longitude coordinates for a Pump Station,longitude,location,ryeb-sgt7,Drainage - Pump Stations
location,location,"List of coordinates for a Pump Station Format (latitude, longitude)",location,location,ryeb-sgt7,Drainage - Pump Stations
ward,text,City Ward Number,ward_name,area,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
neighbourhood name,text,Neighbourhood name,neighbourbood_name,area,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
preschool,number,Number of Individuals identified with this Employment Status,population,population,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
post secondary student,number,Number of Individuals identified with this Employment Status,population,population,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
homemaker,number,Number of Individuals identified with this Employment Status,population,population,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
unemployed,number,Number of Individuals identified with this Employment Status,population,population,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
retired,number,Number of Individuals identified with this Employment Status,population,population,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
permanently unable to work,number,Number of Individuals identified with this Employment Status,population,population,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
no response,number,Number of Individuals that did not provide a Response,population,population,aaar-q4e3,2014 Census - Population By Employment Status (Neighbourhood)
name,text,Name of swimming complex,,,bc4e-qgzb,Indoor Swimming Pools
owner,text,"Name of Organization responsible for the pool. Usually, this is the City Department, Community Services",,,bc4e-qgzb,Indoor Swimming Pools
latitude,number,Latitude coordinate of swimming pool,latitude,location,bc4e-qgzb,Indoor Swimming Pools
longitude,number,Longitude coordinate of swimming pool,longitude,location,bc4e-qgzb,Indoor Swimming Pools
location,location,Geographic coordinates for swimming pool,location,location,bc4e-qgzb,Indoor Swimming Pools
responsedate,calendar_date,,date,time,k8gt-z8tr,Fire Rescue Public Education - Edmonton Insight Community
completiondate,calendar_date,,date,time,k8gt-z8tr,Fire Rescue Public Education - Edmonton Insight Community
ostype,text,,,,k8gt-z8tr,Fire Rescue Public Education - Edmonton Insight Community
devicetype,text,,,,k8gt-z8tr,Fire Rescue Public Education - Edmonton Insight Community
browsertype,text,,,,k8gt-z8tr,Fire Rescue Public Education - Edmonton Insight Community
expenditure,text,,,,4e5k-hg84,Mayor's Meeting Expenses (2014 - 2016)
date,text,,date,time,4e5k-hg84,Mayor's Meeting Expenses (2014 - 2016)
description,text,,,,4e5k-hg84,Mayor's Meeting Expenses (2014 - 2016)
amount,money,,,,4e5k-hg84,Mayor's Meeting Expenses (2014 - 2016)
year,number,,year,time,4e5k-hg84,Mayor's Meeting Expenses (2014 - 2016)
id number,number,Internal  Number,,,k4mi-dkvi,River Valley - Trail Cautions and Closures
date entered,calendar_date,Date when Caution or closure is identified,date,time,k4mi-dkvi,River Valley - Trail Cautions and Closures
date updated,calendar_date,Date when last change is made,date,time,k4mi-dkvi,River Valley - Trail Cautions and Closures
start date,text,Reported start date of caution or closure,date,time,k4mi-dkvi,River Valley - Trail Cautions and Closures
end date,text,Reported finish date of caution or closure.,date,time,k4mi-dkvi,River Valley - Trail Cautions and Closures
duration,text,Length of caution or closure,,,k4mi-dkvi,River Valley - Trail Cautions and Closures
type of closure,text,Closure Type - Permanent or Temporary,,,k4mi-dkvi,River Valley - Trail Cautions and Closures
activity type,text,Category of disruption.,,,k4mi-dkvi,River Valley - Trail Cautions and Closures
infrastructure,text,Infrastructure affected by Activity,,,k4mi-dkvi,River Valley - Trail Cautions and Closures
location name,text,General location where caution or closure is to happen.,,location,k4mi-dkvi,River Valley - Trail Cautions and Closures
details,text,Specific information about trail cautions or closures.,,,k4mi-dkvi,River Valley - Trail Cautions and Closures
link,url,Additional information one can get about this caution or closure,url,url,k4mi-dkvi,River Valley - Trail Cautions and Closures
latitude,number,Latitude Coordinate for caution or closure,latitude,location,k4mi-dkvi,River Valley - Trail Cautions and Closures
longitude,number,Longitude Coordinate for caution or closure,longitude,location,k4mi-dkvi,River Valley - Trail Cautions and Closures
location,location,General spatial point where this caution or closure is to occur.,location,location,k4mi-dkvi,River Valley - Trail Cautions and Closures
ward,text,,ward_name,area,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
neighbourhood number,number,,neighbourbood_id,area,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
neighbourhood name,text,,neighbourbood_name,area,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
car/truck/van (as driver),number,,,,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
car/truck/van (as passenger),number,,,,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
transit,number,,,,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
walk,number,,,,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
bicycle,number,,,,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
other,number,,,,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
no response,number,,,,24yu-behb,2012 Census - Population By Mode Of Transportation (Neighbourhood)
ward,text,,ward_name,area,7tzq-etnt,2012 Census - Population By Structure Type (Ward)
structure type,text,,,,7tzq-etnt,2012 Census - Population By Structure Type (Ward)
number of residents,number,,,,7tzq-etnt,2012 Census - Population By Structure Type (Ward)
responsedate,calendar_date,,date,time,augn-hcya,Downtown Pedways - Edmonton Insight Community
completiondate,calendar_date,,date,time,augn-hcya,Downtown Pedways - Edmonton Insight Community
ostype,text,,,,augn-hcya,Downtown Pedways - Edmonton Insight Community
devicetype,text,,,,augn-hcya,Downtown Pedways - Edmonton Insight Community
browsertype,text,,,,augn-hcya,Downtown Pedways - Edmonton Insight Community
length of residence,text,,,,d8qh-bhiz,2012 Census - Population By Ownership And Length Of Residence (Citywide)
owned,number,,,,d8qh-bhiz,2012 Census - Population By Ownership And Length Of Residence (Citywide)
rented,number,,,,d8qh-bhiz,2012 Census - Population By Ownership And Length Of Residence (Citywide)
no response,number,,,,d8qh-bhiz,2012 Census - Population By Ownership And Length Of Residence (Citywide)
responsedate,calendar_date,,date,time,nyfn-ekkx,Buddy Benches - Edmonton Insight Community
completiondate,calendar_date,,date,time,nyfn-ekkx,Buddy Benches - Edmonton Insight Community
ostype,text,,,,nyfn-ekkx,Buddy Benches - Edmonton Insight Community
devicetype,text,,,,nyfn-ekkx,Buddy Benches - Edmonton Insight Community
browsertype,text,,,,nyfn-ekkx,Buddy Benches - Edmonton Insight Community
ward,text,"Ward Reports are based on the 6-Ward system, which existed in the City of Edmonton until October, 2010.",ward_name,area,tizy-3vkk,2009 Census - Dwelling Unit By Structure Type And Occupancy (Ward)
structure type,text,Type of building structure of each household unit.,,,tizy-3vkk,2009 Census - Dwelling Unit By Structure Type And Occupancy (Ward)
occupied,number,"Number of household units that were occupied on April 1, 2009.",,,tizy-3vkk,2009 Census - Dwelling Unit By Structure Type And Occupancy (Ward)
unoccupied,number,"Number of household units that were not occupied on April 1, 2009 (vacant, under construction, no longer in use).",,,tizy-3vkk,2009 Census - Dwelling Unit By Structure Type And Occupancy (Ward)
no response,number,Number of household units where the Occupancy information was not available.,,,tizy-3vkk,2009 Census - Dwelling Unit By Structure Type And Occupancy (Ward)
name,text,Name/location of project that has LID features,,location,3xir-jjpa,Low Impact Development Inventory
lid feature(s),text,Low Impact Development (LID) Best Management Practices (BMP) - a total of 7 BMPs,,,3xir-jjpa,Low Impact Development Inventory
description,text,"Status of project (constructed, started, and on-going)",,,3xir-jjpa,Low Impact Development Inventory
website url,url,URL of website housing pictures of the LID Feature.,url,url,3xir-jjpa,Low Impact Development Inventory
responsedate,calendar_date,,date,time,rzdi-zv3f,Insight Community Experience - Edmonton Insight Community
completiondate,calendar_date,,date,time,rzdi-zv3f,Insight Community Experience - Edmonton Insight Community
ostype,text,,,,rzdi-zv3f,Insight Community Experience - Edmonton Insight Community
devicetype,text,,,,rzdi-zv3f,Insight Community Experience - Edmonton Insight Community
browsertype,text,,,,rzdi-zv3f,Insight Community Experience - Edmonton Insight Community
ward,text,,ward_name,area,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
neighbourhood number,number,,neighbourbood_id,area,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
neighbourhood name,text,,neighbourbood_name,area,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
length of residence,text,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
single detached home,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
duplex/fourplex,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
row house,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
manufactured/mobile home,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
institution/collective residence,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
hotel/motel,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
rv/tent/other,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
no response,number,,,,nzvx-6q5z,2012 Census - Dwelling Units By Structure Type And Length Of Residence (Neighbourhood)
response date,calendar_date,Date/Time the respondent first opened/started the survey.,date,time,gywn-ipg9,Canada 150 - Edmonton Insight Community
completion date,calendar_date,Date/Time the respondent finished the survey.,date,time,gywn-ipg9,Canada 150 - Edmonton Insight Community
ostype,text,"System Captured, OS used by the respondent. Question: OS Type? - OSType Possible Answers: Mac (OS X)/Linux/Windows/iOS/Android/BlackBerry/Unknown",,,gywn-ipg9,Canada 150 - Edmonton Insight Community
devicetype,text,"System Captured, Device used by the respondent. Question: Device Type? - DeviceType Possible Answers: Tablet/Desktop/Phone",,,gywn-ipg9,Canada 150 - Edmonton Insight Community
browsertype,text,"System Captured, Browser used by the respondent. Question: Browser Type? - BrowserType Possible Answers: Internet Explorer/Firefox/Safari/Google Chrome/Opera/Android/BlackBerry/Unknown",,,gywn-ipg9,Canada 150 - Edmonton Insight Community
responsedate,calendar_date,,date,time,veph-fadt,Secondary Suites - Edmonton Insight Community
completiondate,calendar_date,,date,time,veph-fadt,Secondary Suites - Edmonton Insight Community
ostype,text,,,,veph-fadt,Secondary Suites - Edmonton Insight Community
devicetype,text,,,,veph-fadt,Secondary Suites - Edmonton Insight Community
browsertype,text,,,,veph-fadt,Secondary Suites - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,y2a7-7aha,2016 Census - Dwelling Unit Status (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,y2a7-7aha,2016 Census - Dwelling Unit Status (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,y2a7-7aha,2016 Census - Dwelling Unit Status (Neighbourhood/Ward)
occupied,number,Number of Dwelling Units Occupied,,,y2a7-7aha,2016 Census - Dwelling Unit Status (Neighbourhood/Ward)
unoccupied,number,Number of Dwelling Units Unoccupied,,,y2a7-7aha,2016 Census - Dwelling Unit Status (Neighbourhood/Ward)
no longer in use,number,Number of Dwelling Units No Longer In Use,,,y2a7-7aha,2016 Census - Dwelling Unit Status (Neighbourhood/Ward)
no response,number,Number of Dwelling Units that provided No Response,,,y2a7-7aha,2016 Census - Dwelling Unit Status (Neighbourhood/Ward)
name,text,Name of Building,,,prfy-5m97,Historical Buildings
address,text,Street address where building or structure is located,address,location,prfy-5m97,Historical Buildings
neighbourhood,text,Name of neighbourhood building or structure is located,neighbourbood_name,area,prfy-5m97,Historical Buildings
url,url,Web-site location for additional information,url,url,prfy-5m97,Historical Buildings
construction date,text,Approximate date when building or structure was built,date,time,prfy-5m97,Historical Buildings
latitude,number,Latitude coordinate for building or structure,latitude,location,prfy-5m97,Historical Buildings
longitude,number,Longitude coordinate for building or structure,longitude,location,prfy-5m97,Historical Buildings
location,location,Geographic coordinates for building or structure,location,location,prfy-5m97,Historical Buildings
code,text,An abbreviated payroll code,,,3t6v-ay56,City of Edmonton - Payroll Codes
general description,text,Overall description of the payroll code,,,3t6v-ay56,City of Edmonton - Payroll Codes
effu,text,Does code apply to EFFU Union - Yes or No,,,3t6v-ay56,City of Edmonton - Payroll Codes
ibew,text,Does code apply to IBEW Union - Yes or No,,,3t6v-ay56,City of Edmonton - Payroll Codes
management,text,Does code apply to Management Group - Yes or No,,,3t6v-ay56,City of Edmonton - Payroll Codes
out of scope,text,Does code apply to Out of Scope Group - Yes or No,,,3t6v-ay56,City of Edmonton - Payroll Codes
responsedate,calendar_date,,date,time,ifn7-uij5,Smart City Focus Groups - Edmonton Insight Community
completiondate,calendar_date,,date,time,ifn7-uij5,Smart City Focus Groups - Edmonton Insight Community
ostype,text,,,,ifn7-uij5,Smart City Focus Groups - Edmonton Insight Community
devicetype,text,,,,ifn7-uij5,Smart City Focus Groups - Edmonton Insight Community
browsertype,text,,,,ifn7-uij5,Smart City Focus Groups - Edmonton Insight Community
responsedate,calendar_date,"
Date/Time the respondent first opened/started the survey.
",date,time,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
completiondate,calendar_date,"
Date/Time the respondent finished the survey.
",date,time,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
devicetype,text,"
System Captured, Device used by the respondent. Question: Device Type? - DeviceType || Possible Answers: Tablet/Desktop/Phone
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
browsertype,text,"
System Captured, Browser used by the respondent. Question: Browser Type? - BrowserType || Possible Answers: Internet Explorer/Firefox/Safari/Google Chrome/Opera/Android/BlackBerry/Unknown
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
number in household,number,"
Question: How many people are there in your household?
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
children,text,"
Question: Children in your household? || Possible Answers: Yes|No
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
education,text,"
Profiling question. Question: What is the highest level of education you have achieved?? || Possible Answers: Less than high school|Graduated high school|Graduated college, technical or vocational school|Graduated university|Prefer not to answer
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
gender,text,"
Profiling question. Question: Your gender? || Possible Answers: Female|Male|Other|I prefer not to answer
",gender,sex,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
job status,text,"
Profiling question. Question: Which of the following best describes your employment status, are you currently... || Possible Answers: Working full time|Working part time|A student|Not working outside the home|Retired|Prefer not to answer
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
personal income,text,"
Profiling question. Question: Which of the following best describes your total personal annual income before taxes? || Possible Answers: Less than $20,000|Between $20,000 and $29,999|Between $30,000 and $49,999|Between $50,000 and $79,999|Between $80,000 and $119,999|$120,000 or more|Prefer not to answer
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
household income,text,"
Profiling question. Question: Which of the following best describes your total annual household income before taxes? || Possible Answers: Less than $20,000|Between $20,000 and $29,999|Between $30,000 and $49,999|Between $50,000 and $79,999|Between $80,000 and $119,999|$120,000 or more|Prefer not to answer
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
language,text,"
Profiling question. Question: What is the primary language spoken in your household? || Possible Answers: English|French|Other
",language,language,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
age,text,"
Profiling question. Question: Your age? || Possible Answers: 15 - 18|18 - 24|25 - 34|35 - 44|45 - 54|55 - 64|65 years and over|Refused
",age,age,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
coe work,text,"
Profiling question. Question: Do you work for the City of Edmonton? || Possible Answers: Yes|No
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
vote,text,"
Profiling question. Question: Did you vote in the most recent municipal election for the City of Edmonton? || Possible Answers: Yes|No|I was not eligible
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
own rent,text,"
Profiling question. Question: Do you currently own or rent your place of residence? || Possible Answers: Own|Rent
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
residence,text,"
Profiling question. Question: What type of residence do you live in? || Possible Answers: House|Duplex|Four-plex|Apartment|Condo|Townhouse|Other
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
born in canada,text,"
Profiling question. Question: Were you? || Possible Answers: Born in Canada|Moved to Canada from somewhere else
",,,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
fsa,text,"
Forward Sortation Area (first 3 characters of postal code)
",postal_code,area,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
qdr,text,"
Profiling question. Question: City Quadrant? || Possible Answers: NW|NE|SE|SW
",quadrant,area,cjcn-85t7,Measuring Progress Questionnaire - Safety In The City
ab school number,number,Unique id number designated by the Alberta Department of Education for a particular school,,,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
school name,text,Name of School,,,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
street,text,Street address for School,address,location,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
postal code,text,Postal Code for School,postal_code,area,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
ward,number,School Ward Number,ward_number,area,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
phone number,number,Phone Number for School,phone,phone,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
fax number,number,Fax number for school,phone,phone,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
email,email,E-mail address for School,email,email,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
website,url,,url,url,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
grade level,text,Grade Level(s) for School,,,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
grades offered,text,Range of Grade years offered by the school,,,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
programs,text,Educational Programs offered at the School,,,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
latitude,number,Latitude coordinates for School,latitude,location,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
longitude,number,Longitude coordinates for School,longitude,location,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
location,location,Geographic coordinates for school,location,location,f6w2-hzex,Edmonton Catholic Schools (2016 - 2017)
meeting id,number,Foreign Key Identifier - see Meeting Details dataset for the type and date of the meeting,,,vz4x-u2sk,2017-2021 Council And Committee Meetings - Motions
item id,number,Foreign Key Identifier - see Agenda Items dataset for the related agenda item,,,vz4x-u2sk,2017-2021 Council And Committee Meetings - Motions
motion id,text,Primary Key / Unique Motion Identifier. It's Hex-based ID.,,,vz4x-u2sk,2017-2021 Council And Committee Meetings - Motions
motion mover,text,Name of the committee member who introduced the motion,,,vz4x-u2sk,2017-2021 Council And Committee Meetings - Motions
motion seconder,text,A Seconder is only required for motions made at Council meetings (it is not required for Committee meetings).,,,vz4x-u2sk,2017-2021 Council And Committee Meetings - Motions
motion description,text,Text of the motion or inquiry as introduced to the committee,,,vz4x-u2sk,2017-2021 Council And Committee Meetings - Motions
motion status,text,Indicates whether the motion was 'Carried' or 'Failed'.  A status of 'None' or 'No Vote' indicates that no vote was taken on the motion or inquiry.,,,vz4x-u2sk,2017-2021 Council And Committee Meetings - Motions
citizenship,text,Type of Citizenship,,,7xen-yxhv,2014 Census - Population by Citizenship (Citywide)
population,number,Total Number of Individuals,population,population,7xen-yxhv,2014 Census - Population by Citizenship (Citywide)
proclamation date,calendar_date,Date Proclamation made,date,time,avu6-pknu,City Proclamations List
status,text,Situation of Proclamation - Complete,,,avu6-pknu,City Proclamations List
proclamation,text,Name of Proclamation,,,avu6-pknu,City Proclamations List
link,url,Web Link to view to see Proclamation details,url,url,avu6-pknu,City Proclamations List
responsedate,calendar_date,,date,time,mtj3-59sb,River Crossing Heritage Interpretive Plan - Edmonton Insight Community
completiondate,calendar_date,,date,time,mtj3-59sb,River Crossing Heritage Interpretive Plan - Edmonton Insight Community
ostype,text,,,,mtj3-59sb,River Crossing Heritage Interpretive Plan - Edmonton Insight Community
devicetype,text,,,,mtj3-59sb,River Crossing Heritage Interpretive Plan - Edmonton Insight Community
browsertype,text,,,,mtj3-59sb,River Crossing Heritage Interpretive Plan - Edmonton Insight Community
ward,text,City Ward Number,ward_name,area,siae-h3wc,2016 Census - Population by Length of Residence (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,siae-h3wc,2016 Census - Population by Length of Residence (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,siae-h3wc,2016 Census - Population by Length of Residence (Neighbourhood/Ward)
5 years or more,number,Number of respondents ,population,population,siae-h3wc,2016 Census - Population by Length of Residence (Neighbourhood/Ward)
no response,number,Number of respondents that provided No Response,population,population,siae-h3wc,2016 Census - Population by Length of Residence (Neighbourhood/Ward)
pay machine id,text,Internal ID Number assigned to the Pay Machine,,,6iyz-9q3c,EPark Pay Machine Locations
latitude,number,Latitude portion of the Pay Machine Location,latitude,location,6iyz-9q3c,EPark Pay Machine Locations
longitude,number,Longitude portion of the Pay Machine Location,longitude,location,6iyz-9q3c,EPark Pay Machine Locations
google coordinates,text,The Google geo coordinates (since the source is a Google Map),,location,6iyz-9q3c,EPark Pay Machine Locations
pay machine location,location,The combination of the Latitude and Longitude used for mapping purposes.,location,location,6iyz-9q3c,EPark Pay Machine Locations
location name,text,Name of the place where the WiFi antenna is located.,,location,vbxz-36ag,Open City Wi-Fi Locations
address,text,Physical Street address where the WiFi antenna is located.,address,location,vbxz-36ag,Open City Wi-Fi Locations
facility type,text,Type of location where WiFi antenna is found.,,,vbxz-36ag,Open City Wi-Fi Locations
status,text,Implementation status of the WiFi antenna at a given location.,,,vbxz-36ag,Open City Wi-Fi Locations
wifiprovider,text,Name of an organization providing the WiFi service to the public.,,,vbxz-36ag,Open City Wi-Fi Locations
latitude,number,Horizontal Geographic coordinate of Location,latitude,location,vbxz-36ag,Open City Wi-Fi Locations
longitude,number,Vertical Geographic coordinate of Location,longitude,location,vbxz-36ag,Open City Wi-Fi Locations
location,location,Spatial coordinates of Location,location,location,vbxz-36ag,Open City Wi-Fi Locations
station name,text,,,,b4y7-zhnz,Fire Stations
address,text,,address,location,b4y7-zhnz,Fire Stations
district,text,,district,area,b4y7-zhnz,Fire Stations
fire rescue ems combined,text,,,,b4y7-zhnz,Fire Stations
latitude,number,,latitude,location,b4y7-zhnz,Fire Stations
longitude,number,,longitude,location,b4y7-zhnz,Fire Stations
location,location,,location,location,b4y7-zhnz,Fire Stations
collision location name,text,Intersection name where the collisions occurred,,location,rpc2-fbcm,Top Ten Collision Locations (2016)
number of collisions,number,Number of Collisions,,,rpc2-fbcm,Top Ten Collision Locations (2016)
location,location,Latitude and longitude of the location,location,location,rpc2-fbcm,Top Ten Collision Locations (2016)
maintenance area,number,Unique identifier for a particular Maintenance Area,,area,h9sn-ds8j,Residential Street Cleaning Schedule
neighbourhood name,text,Name of Neighbourhood where street cleaning activity is going to occur,neighbourbood_name,area,h9sn-ds8j,Residential Street Cleaning Schedule
the week of:,calendar_date,The week when street cleaning activity is scheduled in the Neighbourhood,date,time,h9sn-ds8j,Residential Street Cleaning Schedule
earliest scheduled start date,calendar_date,,date,time,h9sn-ds8j,Residential Street Cleaning Schedule
latest scheduled start date,calendar_date,,date,time,h9sn-ds8j,Residential Street Cleaning Schedule
planned start date,text,,date,time,h9sn-ds8j,Residential Street Cleaning Schedule
status,text,Status for street cleaning activity in Neighbourhood. Note: TBD means To Be Determined,,,h9sn-ds8j,Residential Street Cleaning Schedule
location,location,"(latitude, longitude)",location,location,h9sn-ds8j,Residential Street Cleaning Schedule
data update,calendar_date,Details of when the dataset was updated,date,time,h9sn-ds8j,Residential Street Cleaning Schedule
responsedate,calendar_date,,date,time,25yk-jmjh,Public Engagement - Edmonton Insight Community
completiondate,calendar_date,,date,time,25yk-jmjh,Public Engagement - Edmonton Insight Community
ostype,text,,,,25yk-jmjh,Public Engagement - Edmonton Insight Community
devicetype,text,,,,25yk-jmjh,Public Engagement - Edmonton Insight Community
browsertype,text,,,,25yk-jmjh,Public Engagement - Edmonton Insight Community
councillor,text,,,,igga-nzee,Councillors' Common Travel And Training (2014 - 2016)
date,text,,date,time,igga-nzee,Councillors' Common Travel And Training (2014 - 2016)
location,text,,location,location,igga-nzee,Councillors' Common Travel And Training (2014 - 2016)
purpose,text,,,,igga-nzee,Councillors' Common Travel And Training (2014 - 2016)
cost,money,,,,igga-nzee,Councillors' Common Travel And Training (2014 - 2016)
year,number,,year,time,igga-nzee,Councillors' Common Travel And Training (2014 - 2016)
ward,text,City Ward Number,ward_name,area,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
neighbourhood number,number,Unique Neighbourhood Identifier,neighbourbood_id,area,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
english only,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
arabic,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
cantonese,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
french,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
german,number,,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
mandarin,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
panjabi (punjabi),number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
spanish,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
tagalog (pilipino filipino),number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
ukrainian,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
other,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
no response,number,Number of Households ,population,population,etyh-hnr8,2014 Census - Dwelling Unit By Language (Neighbourhood)
named place,text,Place name used at a specific location within Edmonton.,,location,59sa-iw7i,Indigenous Place Names of Edmonton
location description,text,A geographic description of the place name location.,,,59sa-iw7i,Indigenous Place Names of Edmonton
location type,text,"The type of place feature (for instance road, neighbourhood) named.",,,59sa-iw7i,Indigenous Place Names of Edmonton
year,number,The year that the place feature was named.,year,time,59sa-iw7i,Indigenous Place Names of Edmonton
name origin,text,The origin and description of the place name.,,,59sa-iw7i,Indigenous Place Names of Edmonton
latitude,number,The latitude of named place location.,latitude,location,59sa-iw7i,Indigenous Place Names of Edmonton
